5626;0;1800000;900000;2;112501
5626;0;1800000;900000;2;24;112501
42;1742704;1622990;810000;2;49;34;822
42;1403967;1623075;810000;2;43;39;387;820
42;1552013;1622185;810000;2;38;45;345;822
42;1883320;1622245;810000;2;40;43;438;827
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
7;20;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
22;5;
7;20;
7;20;
3;48;
7;20;
7;20;
3;45;
3;45;
7;20;
7;20;
7;20;
8;1;
8;1;
8;1;
8;1;
8;1;
3;1;
3;1;
3;1;
3;1;
12;1;
16;1;
15;1;
52;2;
52;2;
52;2;
52;2;
8;1;
52;2;
18;36;
52;2;
52;2;
2;38;
1;18;
1;18;
31;151;
31;151;
31;151;
31;151;
31;151;
31;151;
36;176;
31;151;
31;151;
